Species;survey;year;mean_number_pr_haul
Amblyraja radiata;BITSS1;1996;0
Amblyraja radiata;BITSS1;1997;0.074074074
Amblyraja radiata;BITSS1;1998;0.181818182
Amblyraja radiata;BITSS1;1999;0.03030303
Amblyraja radiata;BITSS1;2000;0.060606061
Amblyraja radiata;BITSS1;2001;0.028571429
Amblyraja radiata;BITSS1;2002;0
Amblyraja radiata;BITSS1;2003;0.057142857
Amblyraja radiata;BITSS1;2004;0.0625
Amblyraja radiata;BITSS1;2005;0.2
Amblyraja radiata;BITSS1;2006;0
Amblyraja radiata;BITSS1;2007;0.25
Amblyraja radiata;BITSS1;2008;0.108108108
Amblyraja radiata;BITSS1;2009;0.21875
Amblyraja radiata;BITSS1;2010;0.054054054
Amblyraja radiata;BITSS1;2011;0.071428571
Amblyraja radiata;BITSS1;2012;0.131578947
Amblyraja radiata;BITSS1;2013;0.081081081
Amblyraja radiata;BITSS1;2014;0.055555556
Amblyraja radiata;BITSS1;2015;0.190476191
Amblyraja radiata;BITSS1;2016;0.184210526
Amblyraja radiata;BITSS1;2017;0.024390244
Amblyraja radiata;BITSS1;2018;0.128571429
Amblyraja radiata;BITSS4;1999;0.03125
Amblyraja radiata;BITSS4;2000;0
Amblyraja radiata;BITSS4;2001;0.407407407
Amblyraja radiata;BITSS4;2002;0.088235294
Amblyraja radiata;BITSS4;2003;0
Amblyraja radiata;BITSS4;2004;0.057142857
Amblyraja radiata;BITSS4;2005;0.060606061
Amblyraja radiata;BITSS4;2006;0
Amblyraja radiata;BITSS4;2007;0.027777778
Amblyraja radiata;BITSS4;2008;0.195121951
Amblyraja radiata;BITSS4;2009;0.058823529
Amblyraja radiata;BITSS4;2010;0.128205128
Amblyraja radiata;BITSS4;2011;0.128205128
Amblyraja radiata;BITSS4;2012;0
Amblyraja radiata;BITSS4;2013;0.342857143
Amblyraja radiata;BITSS4;2014;0.058823529
Amblyraja radiata;BITSS4;2015;0.201754386
Amblyraja radiata;BITSS4;2016;0.239761905
Amblyraja radiata;BITSS4;2017;0.375375375
Amblyraja radiata;BITSS4;2018;0.121052632
Amblyraja radiata;BTS;1996;3.060283688
Amblyraja radiata;BTS;1997;14.03240559
Amblyraja radiata;BTS;1998;4.21834585
Amblyraja radiata;BTS;1999;7.161919748
Amblyraja radiata;BTS;2000;6.936781609
Amblyraja radiata;BTS;2001;5.782608696
Amblyraja radiata;BTS;2002;2.622528776
Amblyraja radiata;BTS;2003;2.346592822
Amblyraja radiata;BTS;2004;1.844613554
Amblyraja radiata;BTS;2005;1.961740685
Amblyraja radiata;BTS;2006;1.843346517
Amblyraja radiata;BTS;2007;2.19953394
Amblyraja radiata;BTS;2008;2.473231772
Amblyraja radiata;BTS;2009;2.092188865
Amblyraja radiata;BTS;2010;1.945405264
Amblyraja radiata;BTS;2011;1.81825582
Amblyraja radiata;BTS;2012;2.102304916
Amblyraja radiata;BTS;2013;1.828556936
Amblyraja radiata;BTS;2014;1.297433557
Amblyraja radiata;BTS;2015;1.459248762
Amblyraja radiata;BTS;2016;1.395523041
Amblyraja radiata;BTS;2017;0.962193085
Amblyraja radiata;BTS;2018;0.95286888
Amblyraja radiata;NS-IBTS1;1965;0
Amblyraja radiata;NS-IBTS1;1966;0
Amblyraja radiata;NS-IBTS1;1967;0.083605665
Amblyraja radiata;NS-IBTS1;1968;0.032
Amblyraja radiata;NS-IBTS1;1969;0.669014085
Amblyraja radiata;NS-IBTS1;1970;0
Amblyraja radiata;NS-IBTS1;1971;0.114754098
Amblyraja radiata;NS-IBTS1;1972;0.059659091
Amblyraja radiata;NS-IBTS1;1973;0.061931365
Amblyraja radiata;NS-IBTS1;1974;0.142857143
Amblyraja radiata;NS-IBTS1;1975;0.706382979
Amblyraja radiata;NS-IBTS1;1976;0.182222222
Amblyraja radiata;NS-IBTS1;1977;0.730639731
Amblyraja radiata;NS-IBTS1;1978;0.682890856
Amblyraja radiata;NS-IBTS1;1979;0.966472303
Amblyraja radiata;NS-IBTS1;1980;0.442367601
Amblyraja radiata;NS-IBTS1;1981;0.959930314
Amblyraja radiata;NS-IBTS1;1982;0.314516129
Amblyraja radiata;NS-IBTS1;1983;1.405063291
Amblyraja radiata;NS-IBTS1;1984;1.914739884
Amblyraja radiata;NS-IBTS1;1985;1.078358209
Amblyraja radiata;NS-IBTS1;1986;1.667901235
Amblyraja radiata;NS-IBTS1;1987;3.927884615
Amblyraja radiata;NS-IBTS1;1988;1.476712329
Amblyraja radiata;NS-IBTS1;1989;3.26953125
Amblyraja radiata;NS-IBTS1;1990;2.994318182
Amblyraja radiata;NS-IBTS1;1991;2.459210526
Amblyraja radiata;NS-IBTS1;1992;2.832982641
Amblyraja radiata;NS-IBTS1;1993;5.979411765
Amblyraja radiata;NS-IBTS1;1994;2.433534743
Amblyraja radiata;NS-IBTS1;1995;4.652733119
Amblyraja radiata;NS-IBTS1;1996;2.53016156
Amblyraja radiata;NS-IBTS1;1997;2.985936297
Amblyraja radiata;NS-IBTS1;1998;2.545896618
Amblyraja radiata;NS-IBTS1;1999;2.665404186
Amblyraja radiata;NS-IBTS1;2000;4.261260725
Amblyraja radiata;NS-IBTS1;2001;1.332067846
Amblyraja radiata;NS-IBTS1;2002;1.852858642
Amblyraja radiata;NS-IBTS1;2003;1.761236693
Amblyraja radiata;NS-IBTS1;2004;2.06425679
Amblyraja radiata;NS-IBTS1;2005;1.370849687
Amblyraja radiata;NS-IBTS1;2006;0.83127234
Amblyraja radiata;NS-IBTS1;2007;1.164909513
Amblyraja radiata;NS-IBTS1;2008;1.028315629
Amblyraja radiata;NS-IBTS1;2009;0.435685111
Amblyraja radiata;NS-IBTS1;2010;0.493973309
Amblyraja radiata;NS-IBTS1;2011;0.445693659
Amblyraja radiata;NS-IBTS1;2012;0.628063475
Amblyraja radiata;NS-IBTS1;2013;0.412811902
Amblyraja radiata;NS-IBTS1;2014;0.427636848
Amblyraja radiata;NS-IBTS1;2015;0.787185248
Amblyraja radiata;NS-IBTS1;2016;0.470494121
Amblyraja radiata;NS-IBTS1;2017;0.546850943
Amblyraja radiata;NS-IBTS1;2018;0.301662338
Amblyraja radiata;NS-IBTS3;1991;3.483367691
Amblyraja radiata;NS-IBTS3;1992;1.382720081
Amblyraja radiata;NS-IBTS3;1993;0.800112491
Amblyraja radiata;NS-IBTS3;1994;0.915422683
Amblyraja radiata;NS-IBTS3;1995;1.005255821
Amblyraja radiata;NS-IBTS3;1996;1.060990172
Amblyraja radiata;NS-IBTS3;1997;0.973135924
Amblyraja radiata;NS-IBTS3;1998;0.938000405
Amblyraja radiata;NS-IBTS3;1999;1.414962915
Amblyraja radiata;NS-IBTS3;2000;1.515478741
Amblyraja radiata;NS-IBTS3;2001;2.34699224
Amblyraja radiata;NS-IBTS3;2002;1.355751182
Amblyraja radiata;NS-IBTS3;2003;1.136049905
Amblyraja radiata;NS-IBTS3;2004;0.784264365
Amblyraja radiata;NS-IBTS3;2005;0.794018031
Amblyraja radiata;NS-IBTS3;2006;0.986572164
Amblyraja radiata;NS-IBTS3;2007;0.988077508
Amblyraja radiata;NS-IBTS3;2008;0.810599408
Amblyraja radiata;NS-IBTS3;2009;0.888849344
Amblyraja radiata;NS-IBTS3;2010;0.654316659
Amblyraja radiata;NS-IBTS3;2011;0.732055621
Amblyraja radiata;NS-IBTS3;2012;0.764800652
Amblyraja radiata;NS-IBTS3;2013;0.509591311
Amblyraja radiata;NS-IBTS3;2014;0.604014908
Amblyraja radiata;NS-IBTS3;2015;0.76047087
Amblyraja radiata;NS-IBTS3;2016;0.795750235
Amblyraja radiata;NS-IBTS3;2017;0.502335592
Amblyraja radiata;NS-IBTS3;2018;0.503743631
Anarhichas lupus;BITSS1;1996;0.227272727
